the_geom,cartodb_id,iso_langua,north,south,east,west
,2190,eme,3.458216,3.156061,-52.237283,-53.8849
,2191,emg,27.544013,27.448212,87.195917,87.103011
,2192,ema,7.31841,6.847509,6.019782,5.733679
,2193,emb,1.350713,0.425488,113.233771,112.223752
,2194,emn,6.29139,6.18309,9.70955,9.63894
,2195,emi,-1.314719,-1.691882,150.026218,149.505364
,2196,emk,12.609245,4.353066,-7.367879,-12.075833
,2197,suz,27.666658,27.280797,86.465229,86.105392
,2198,emu,20.172703,19.20951,82.113933,81.355683
,2199,emw,-8.008037,-8.052108,129.749915,129.699299
,2200,emq,53.56005,10.37314,134.774065,73.560763
,2201,emp,9.374246,5.628923,-76.215332,-79.582925
,2202,ems,61.206617,55.901238,-145.583986,-159.218043
,2203,emx,51.089314,27.637354,9.560596,-18.161283
,2204,emz,13.085575,1.649323,16.190933,8.498874
,2205,kzq,28.918755,28.861052,82.998037,82.952397
,2206,dsq,37.090088,14.946899,12.000768,-8.67022
,2207,hai,83.113167,41.676322,-52.619065,-141.002725
,2208,haj,25.700681,24.896814,91.730139,89.935562
,2209,hak,83.113167,-54.779045,179.773499,-179.150556
,2210,dso,19.914833,18.697049,83.010743,82.082647
,2211,coq,71.388858,18.909894,293.050802,172.436635
,2212,cop,31.670494,21.724638,36.215136,24.696752
,2213,cos,43.011966,-34.973919,9.560596,-84.951892
,2214,cor,60.845618,49.882784,1.764097,-8.650332
,2215,cou,12.676919,12.265923,-13.036292,-13.484789
,2216,cot,-11.342424,-11.609118,-73.234133,-73.65598
,2217,cow,71.388858,18.909894,293.050802,172.436635
,2218,cov,53.56005,10.37314,134.774065,73.560763
,2219,ilo,83.113167,14.776486,307.380935,119.749437
,2220,coz,17.694173,17.594375,-97.174838,-97.302838
,2221,ilk,16.641371,16.003396,121.87223,121.222304
,2222,ili,55.441303,10.37314,134.774065,46.49142
,2223,ilv,4.740203,4.680647,8.325465,8.29533
,2224,coc,32.718275,32.018184,-114.605871,-115.190958
,2225,cob,32.718762,13.740206,-86.710425,-118.369036
,2226,coe,1.224551,0.627403,-75.039541,-75.655352
,2227,cod,15.919416,-5.921047,-61.467189,-81.73594
,2228,cog,14.688377,9.913813,107.625013,102.122249
,2229,bnr,-15.224917,-15.463314,167.111392,166.987096
,2230,coh,-3.696895,-3.902398,39.837898,39.672028
,2231,cok,22.650274,22.468045,-104.644913,-104.810928
,2232,coj,32.718762,14.530191,-86.710425,-118.369036
,2233,com,34.626454,34.510293,-98.351111,-98.4968
,2234,col,48.483084,47.840402,-118.145767,-118.763162
,2235,coo,50.398185,49.658838,-124.521221,-125.232576
,2236,con,0.54214,-0.398614,-75.503881,-77.452232
,2237,bnp,-5.106186,-5.57874,150.326308,149.838672
,2238,bnw,-4.397131,-4.530043,143.142033,142.974167
,2239,hae,9.870182,7.51916,42.715119,40.16394
,2240,haf,20.876366,20.834833,106.71264,106.66539
,2241,hax,53.296731,53.243307,-131.964955,-132.046349
,2242,bnj,13.059032,12.759776,121.311892,121.041141
,2243,haz,41.042862,-54.779045,159.105026,59.232867
